# PcbXY Version 1.0
# Date: Sat 04 Apr 2015 06:08:16 PM GMT UTC
# Author: Peter Monta
# Title: GNSS Firehose - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
R19,"0402.fp","43.2",745.00,2605.00,0,top
C72,"0402.fp","100_pF",820.00,2585.00,0,top
C73,"0402.fp","47_nF",1040.00,2733.00,0,top
C67,"0402.fp","47_nF",1100.00,2733.00,0,top
C78,"0402.fp","2.2_nF",1011.00,2324.00,90,top
R21,"0402.fp","390",968.00,2367.00,0,top
R20,"0402.fp","820",968.00,2404.00,180,top
C80,"0402.fp","100_pF",905.00,2358.00,90,top
R22,"0402.fp","10k",701.00,2446.00,90,top
R23,"0402.fp","80",1102.00,2347.00,0,top
C83,"0402.fp","1000_pF",845.00,2740.00,270,top
C84,"0402.fp","1000_pF",1150.00,2475.00,90,top
C85,"0402.fp","1000_pF",810.00,2515.00,90,top
C86,"0402.fp","1000_pF",1010.00,2776.00,180,top
C87,"0402.fp","1000_pF",1040.00,2395.00,90,top
C88,"0402.fp","1000_pF",800.00,2655.00,90,top
C89,"0402.fp","1000_pF",845.00,2458.00,90,top
C104,"0402.fp","100_pF",333.00,1949.00,0,top
C125,"0402.fp","100_pF",439.00,1949.00,0,top
L6,"0402.fp","6_nH",385.00,1932.00,90,top
R26,"0402.fp","5.1k",581.00,1891.00,180,top
R18,"0402.fp","5.1k",581.00,2520.00,180,top
L7,"0402.fp","47_nH",609.00,2063.00,90,top
C105,"0402.fp","100_pF",628.00,2115.00,0,top
C103,"0402.fp","10_nF",630.00,2151.00,0,top
C106,"0402.fp","100_pF",680.00,2002.00,0,top
R25,"0402.fp","86.6",737.00,2033.00,270,top
R27,"0402.fp","43.2",744.00,1977.00,0,top
C107,"0402.fp","100_pF",818.00,1953.00,0,top
C108,"0402.fp","47_nF",1039.00,2103.00,0,top
C102,"0402.fp","47_nF",1101.00,2103.00,0,top
C113,"0402.fp","2.2_nF",1012.00,1695.00,90,top
R29,"0402.fp","390",967.00,1734.00,0,top
R28,"0402.fp","820",967.00,1772.00,180,top
C115,"0402.fp","100_pF",909.00,1728.00,90,top
R30,"0402.fp","10k",702.00,1817.00,90,top
R31,"0402.fp","80",1101.00,1720.00,0,top
C8,"0402.fp","100_pF",680.00,3260.00,0,top
C29,"0402.fp","0.1_uF",1232.00,3327.00,0,top
C30,"0402.fp","0.1_uF",1220.00,3110.00,0,top
C82,"0402.fp","0.1_uF",895.00,2430.00,0,top
C91,"0402.fp","0.1_uF",1205.00,2590.00,0,top
C92,"0402.fp","0.1_uF",1230.00,2697.00,0,top
C93,"0402.fp","0.1_uF",1222.26,2478.74,0,top
C95,"0402.fp","0.1_uF",1249.74,2394.26,90,top
C96,"0402.fp","0.1_uF",1249.26,2769.74,270,top
C97,"0402.fp","0.1_uF",1661.00,2686.00,180,top
C98,"0402.fp","0.1_uF",1659.00,2475.00,180,top
C99,"0402.fp","0.1_uF",1294.00,2796.00,270,top
C81,"0402.fp","0.1_uF",746.00,2447.00,90,top
C100,"0402.fp","0.1_uF",1118.00,2397.00,90,top
C117,"0402.fp","0.1_uF",896.00,1803.00,0,top
C126,"0402.fp","0.1_uF",1208.00,1959.00,0,top
C127,"0402.fp","0.1_uF",1229.00,2069.00,0,top
C128,"0402.fp","0.1_uF",1219.00,1848.00,0,top
C129,"0402.fp","0.1_uF",1252.00,2145.52,270,top
C130,"0402.fp","0.1_uF",1250.00,1765.00,90,top
C131,"0402.fp","0.1_uF",1322.00,1724.00,90,top
C132,"0402.fp","0.1_uF",1320.00,2178.00,270,top
C133,"0402.fp","0.1_uF",1661.00,1842.00,180,top
C134,"0402.fp","0.1_uF",1660.00,2057.00,180,top
C135,"0402.fp","0.1_uF",1117.00,1768.00,90,top
C116,"0402.fp","0.1_uF",744.00,1817.00,90,top
C11,"0402.fp","47_nF",1200.00,3290.00,0,top
C12,"0402.fp","47_nF",1200.00,3255.00,0,top
C13,"0402.fp","47_nF",1200.00,3185.00,0,top
C14,"0402.fp","47_nF",1200.00,3150.00,0,top
C74,"0402.fp","47_nF",1200.00,2660.00,0,top
C75,"0402.fp","47_nF",1200.00,2625.00,0,top
C76,"0402.fp","47_nF",1200.00,2555.00,0,top
C77,"0402.fp","47_nF",1200.00,2520.00,0,top
C79,"0402.fp","33_nF",961.00,2320.00,0,top
C114,"0402.fp","33_nF",959.00,1689.00,0,top
C109,"0402.fp","47_nF",1198.00,2033.00,0,top
C110,"0402.fp","47_nF",1200.00,1996.00,0,top
C111,"0402.fp","47_nF",1199.00,1922.00,0,top
C112,"0402.fp","47_nF",1199.00,1884.00,0,top
C1,"0402.fp","47_nF",1105.00,3360.00,0,top
C10,"0402.fp","47_nF",1040.00,3360.00,0,top
R3,"0402.fp","43.2",745.00,3230.00,0,top
C15,"0402.fp","2.2_nF",1014.00,2952.00,90,top
R7,"0402.fp","80",1102.00,2985.00,0,top
C37,"0402.fp","0.1_uF",1117.00,3044.00,90,top
R1,"0402.fp","86.6",740.00,3285.00,270,top
C9,"0402.fp","100_pF",815.00,3215.00,0,top
R5,"0402.fp","390",968.00,2990.00,0,top
R4,"0402.fp","820",966.00,3030.00,180,top
C17,"0402.fp","100_pF",905.00,2988.00,90,top
C16,"0402.fp","33_nF",957.00,2945.00,0,top
C20,"0402.fp","1000_pF",844.00,3090.00,90,top
C21,"0402.fp","1000_pF",1149.00,3104.52,90,top
C22,"0402.fp","1000_pF",844.26,3359.22,270,top
C23,"0402.fp","1000_pF",815.00,3273.00,90,top
C25,"0402.fp","1000_pF",1042.00,3025.00,90,top
C26,"0402.fp","1000_pF",810.00,3145.00,90,top
C24,"0402.fp","1000_pF",1008.00,3399.00,180,top
C33,"0402.fp","0.1_uF",1660.00,3105.00,180,top
C36,"0402.fp","0.1_uF",1658.00,3317.00,180,top
C35,"0402.fp","0.1_uF",1320.00,3440.00,270,top
C34,"0402.fp","0.1_uF",1252.00,3406.00,270,top
C31,"0402.fp","0.1_uF",1322.00,2983.00,90,top
C32,"0402.fp","0.1_uF",1249.00,3028.00,90,top
C19,"0402.fp","0.1_uF",896.00,3064.00,0,top
R6,"0402.fp","10k",702.00,3078.26,90,top
C18,"0402.fp","0.1_uF",745.00,3079.26,90,top
C28,"0402.fp","0.1_uF",1204.74,3220.00,0,top
C124,"0402.fp","1000_pF",845.00,1828.00,90,top
C123,"0402.fp","1000_pF",1148.00,1843.00,90,top
C122,"0402.fp","1000_pF",1011.00,2141.00,180,top
C121,"0402.fp","1000_pF",808.00,1884.00,90,top
C120,"0402.fp","1000_pF",1042.00,1766.00,90,top
C119,"0402.fp","1000_pF",806.00,2022.00,90,top
C118,"0402.fp","1000_pF",845.00,2108.00,270,top
C156,"0402.fp","0.1_uF",2523.00,1955.26,270,bottom
C155,"0402.fp","0.1_uF",2315.00,1955.00,270,bottom
C153,"0402.fp","0.1_uF",2607.74,1954.00,270,bottom
C154,"0805.fp","10_uF",2744.00,1982.00,180,bottom
C160,"0402.fp","0.1_uF",2151.83,2211.00,0,bottom
C159,"0402.fp","0.1_uF",2153.83,2468.00,0,bottom
C157,"0402.fp","0.1_uF",2153.43,2359.00,0,bottom
C158,"0805.fp","10_uF",2197.17,1988.00,0,bottom
C168,"0402.fp","0.1_uF",2806.26,2074.00,180,bottom
C167,"0402.fp","0.1_uF",2804.26,2345.00,180,bottom
C166,"0805.fp","10_uF",2750.26,2152.00,180,bottom
R83,"0402.fp","10k",1782.00,2410.74,270,top
R84,"0402.fp","10k",1720.00,2425.74,270,top
C161,"0402.fp","0.1_uF",2607.00,2605.00,90,bottom
C164,"0402.fp","0.1_uF",2810.00,2589.00,180,bottom
C163,"0402.fp","0.1_uF",2698.00,2605.00,90,bottom
R78,"0402.fp","10k",1929.26,2388.74,270,top
R85,"0402.fp","330",3388.26,2569.00,0,top
R86,"0402.fp","1k",3323.74,2519.00,0,top
R87,"1210.fp","0",3385.00,3089.05,90,top
C209,"0402.fp","0.1_uF",1870.00,2388.00,270,top
C207,"0402.fp","0.1_uF",2734.00,2844.00,180,top
C208,"0402.fp","0.1_uF",1435.00,2937.00,270,top
R77,"0402.fp","10k",1491.00,2920.00,180,top
R76,"0402.fp","10k",2702.00,2797.00,0,top
R44,"0402.fp","4.7k",1966.00,1821.00,180,top
R48,"0402.fp","47",2682.00,1775.00,0,top
R38,"0402.fp","47",2796.00,1777.00,0,top
R43,"0402.fp","47",1966.00,1924.00,180,top
R40,"0402.fp","1k",2599.00,1761.00,90,top
R41,"0402.fp","1k",2737.74,1739.00,0,top
R47,"0402.fp","4.7k",1966.00,1873.00,180,top
R45,"0402.fp","330",2980.00,1811.00,180,top
LED1,"0603.fp","unknown",2935.00,1759.00,180,top
R42,"0402.fp","0",2991.74,1899.74,270,top
R71,"0402.fp","12.1k",3057.00,2940.00,180,top
C197,"0402.fp","0.1_uF_25V",2751.00,3318.00,90,bottom
C199,"0402.fp","0.1_uF_25V",2972.00,3318.26,270,bottom
L11,"NRS5020.fp","1_uH",3186.00,3179.00,180,top
C198,"tantalum-size-D.fp","47_uF_20V",3051.00,3453.00,180,top
C200,"1210.fp","22_uF",3383.00,3304.95,270,top
R39,"0402.fp","47",3359.00,1878.00,180,top
J6,"HEADER14_2MM","unknown",4019.37,2148.74,0,top
U11,"SO8","unknown",3332.00,2237.00,90,top
J8,"PJ-063BH","unknown",4455.91,3050.00,90,top
MH2,"HOLE_UNC_2_56.fp","unknown",4315.00,3525.00,0,top
C253,"0402.fp","0.1_uF",3809.26,1440.00,0,top
C252,"0402.fp","0.1_uF",3914.26,1440.00,0,top
C251,"0402.fp","0.1_uF",3900.74,555.00,0,top
C250,"0402.fp","0.1_uF",3804.26,555.00,0,top
R144,"0402.fp","10",1980.00,816.00,90,top
J7,"L829-1J1T-43","unknown",4067.14,990.90,0,top
LED4,"APA2106.fp","unknown",4590.00,2518.82,270,top
LED2,"APA2106.fp","unknown",4590.00,1968.82,270,top
LED3,"APA2106.fp","unknown",4590.00,1738.82,270,top
R145,"0805.fp","0",4009.57,3045.00,180,top
Q1,"SOT23.fp","Si2369DS",3589.00,3202.67,270,top
Z1,"SMAJ.fp","SMAJ9.0CA",3785.00,3141.61,270,top
R150,"0402.fp","10k",3044.00,2311.26,180,top
R149,"0402.fp","10k",3054.74,2349.00,180,top
R148,"0402.fp","10k",2993.74,2375.00,180,top
R147,"0402.fp","10k",3094.26,2410.00,180,top
R146,"0402.fp","10k",2990.74,2423.00,180,top
C255,"0402.fp","10_pF",2031.00,458.74,90,top
C254,"0402.fp","0.1_uF",2024.00,846.00,270,top
FB17,"0402.fp","240",2169.00,895.00,180,top
U19,"TSSOP8.fp","unknown",2182.00,806.00,180,top
U22,"SOT-23-5.fp","unknown",367.40,2116.58,90,top
R128,"0603.fp","0",260.00,2062.41,90,top
U21,"SOT-23-5.fp","unknown",369.40,2732.58,90,top
R127,"0603.fp","0",268.00,2681.00,90,top
U20,"SOT-23-5.fp","unknown",376.06,3355.60,180,top
R126,"0603.fp","0",260.00,3313.59,90,top
C247,"0402.fp","1000_pF",495.74,2138.00,0,top
C245,"0402.fp","1000_pF",487.00,2775.00,0,top
C243,"0402.fp","1000_pF",531.00,3406.00,0,top
